# Wavelength(A)  Flux(10^-17 erg/s/cm^2/A)
4629.1360  10.3290
4630.2030  11.0400
4631.2690  11.8310
4632.3360  11.8570
4633.4020  12.1950
4634.4680  13.5420
4635.5370  12.6980
4636.6030  10.3380
4637.6720  11.3950
4638.7390  11.0690
4639.8090  10.1730
4640.8760  11.0400
4641.9440  9.0190
4643.0140  11.2450
4644.0830  10.1070
4645.1530  8.9190
4646.2220  10.8370
4647.2930  9.2200
4648.3620  11.7770
4649.4320  14.2880
4650.5040  12.5830
4651.5740  12.4570
4652.6460  11.2540
4653.7170  9.6130
4654.7900  12.2900
4655.8610  13.3160
4656.9350  10.7490
4658.0060  12.1570
4659.0770  12.1490
4660.1520  9.6970
4661.2240  10.9930
4662.2980  9.2250
4663.3710  10.5780
4664.4460  7.7430
4665.5200  6.8540
4666.5930  8.9500
4667.6690  10.0490
4668.7430  10.8030
4669.8190  11.2620
4670.8940  10.6960
4671.9710  9.6590
4673.0450  9.2490
4674.1210  11.8760
4675.1980  14.1030
4676.2740  9.0760
4677.3520  9.2310
4678.4280  10.9560
4679.5070  12.2220
4680.5830  13.2790
4681.6600  14.9410
4682.7400  12.1070
4683.8170  12.8680
4684.8970  12.1600
4685.9750  12.3620
4687.0560  13.2730
4688.1340  12.1870
4689.2120  10.3850
4690.2930  10.8830
4691.3730  12.2100
4692.4550  11.8240
4693.5340  10.5740
4694.6160  10.4530
4695.6960  11.2630
4696.7760  11.0770
4697.8590  11.0580
4698.9400  10.8560
4700.0240  9.9970
4701.1050  8.0340
4702.1890  11.7390
4703.2710  10.5830
4704.3530  10.8370
4705.4380  12.8350
4706.5200  9.8000
4707.6050  8.4430
4708.6880  12.0930
4709.7740  12.3840
4710.8580  10.3160
4711.9410  10.3630
4713.0280  11.5490
4714.1120  11.8380
4715.1990  11.3850
4716.2840  10.7310
4717.3720  10.0940
4718.4570  10.6820
4719.5420  12.4270
4720.6310  12.8160
4721.7170  9.2750
4722.8060  11.5590
4723.8920  12.2170
4724.9810  10.9190
4726.0680  10.7800
4727.1550  11.5220
4728.2460  11.4950
4729.3330  11.2100
4730.4240  11.3280
4731.5120  13.1100
4732.6030  10.5460
4733.6920  10.7400
4734.7810  12.8860
4735.8730  13.8900
4736.9620  12.4000
4738.0550  10.5210
4739.1450  11.8920
4740.2370  12.7060
4741.3280  11.2940
4742.4210  10.5980
4743.5120  10.1290
4744.6040  11.6450
4745.6970  10.9120
4746.7890  10.3840
4747.8840  10.5410
4748.9760  11.3240
4750.0710  9.2300
4751.1640  10.6660
4752.2570  9.3180
4753.3530  11.1160
4754.4460  11.8720
4755.5420  11.2410
4756.6370  12.1690
4757.7330  10.1000
4758.8280  10.5260
4759.9230  11.6540
4761.0210  11.7230
4762.1160  12.1900
4763.2140  11.3300
4764.3100  11.4790
4765.4080  12.2050
4766.5040  11.0720
4767.6010  10.8300
4768.7000  11.5520
4769.7970  12.3870
4770.8970  13.0850
4771.9950  11.6500
4773.0950  12.3110
4774.1930  11.0370
4775.2920  9.8480
4776.3930  10.6950
4777.4920  10.1420
4778.5930  12.5450
4779.6920  10.9360
4780.7950  12.4640
4781.8950  10.0720
4782.9950  9.6610
4784.0980  13.3630
4785.1980  12.1250
4786.3020  10.2370
4787.4030  12.2290
4788.5070  13.2950
4789.6080  11.2460
4790.7100  11.0150
4791.8150  14.2690
4792.9170  12.3210
4794.0220  12.1470
4795.1250  11.5310
4796.2310  13.2610
4797.3340  12.9610
4798.4380  10.8810
4799.5440  12.1110
4800.6490  13.5090
4801.7560  13.0750
4802.8600  11.1350
4803.9680  12.8700
4805.0730  12.9890
4806.1780  12.7540
4807.2870  11.5100
4808.3930  11.7810
4809.5010  8.6820
4810.6080  8.6730
4811.7170  9.6700
4812.8240  9.7680
4813.9310  11.9590
4815.0420  13.3970
4816.1490  13.0350
4817.2600  12.7170
4818.3680  12.6020
4819.4790  13.1130
4820.5880  12.0920
4821.6970  11.5570
4822.8090  11.1170
4823.9180  11.3660
4825.0300  10.2390
4826.1400  13.4080
4827.2530  12.0310
4828.3640  10.8520
4829.4770  11.8650
4830.5880  13.5600
4831.6990  10.9430
4832.8130  14.1030
4833.9250  11.1290
4835.0400  11.9820
4836.1520  11.6210
4837.2680  9.8540
4838.3800  10.2720
4839.4940  11.4840
4840.6090  11.2040
4841.7230  13.1670
4842.8390  11.3770
4843.9540  11.5390
4845.0710  12.4770
4846.1850  11.6400
4847.3000  12.6450
4848.4180  12.1450
4849.5330  12.0860
4850.6510  9.9070
4851.7680  11.6970
4852.8860  13.6110
4854.0020  11.5720
4855.1190  11.1970
4856.2390  12.7770
4857.3560  8.5420
4858.4760  12.1400
4859.5940  10.1080
4860.7140  8.5410
4861.8330  8.4980
4862.9510  8.7990
4864.0720  10.9130
4865.1910  10.6430
4866.3130  11.5330
4867.4330  13.1660
4868.5550  10.0410
4869.6750  12.5100
4870.7950  13.1730
4871.9190  11.5110
4873.0400  11.0650
4874.1630  11.8390
4875.2850  11.2780
4876.4090  11.6970
4877.5310  11.4450
4878.6530  11.3490
4879.7780  10.6260
4880.9000  8.2300
4882.0260  8.3620
4883.1490  9.4270
4884.2750  10.9260
4885.3980  10.5180
4886.5220  12.6990
4887.6490  9.9150
4888.7730  10.4410
4889.9010  12.8500
4891.0260  9.8860
4892.1540  8.4520
4893.2790  9.7980
4894.4050  8.8380
4895.5340  8.2270
4896.6600  8.9990
4897.7890  8.6450
4898.9160  9.7230
4900.0450  9.1180
4901.1720  9.7710
4902.3000  8.9690
4903.4310  10.4690
4904.5590  9.9580
4905.6890  10.4500
4906.8180  9.3920
4907.9500  10.0810
4909.0790  10.4710
4910.2080  12.4400
4911.3400  16.2820
4912.4700  13.0980
4913.6030  13.4250
4914.7330  16.2590
4915.8670  13.7450
4916.9980  11.4690
4918.1310  11.3180
4919.2630  11.3790
4920.3950  10.6130
4921.5290  10.5540
4922.6610  10.6950
4923.7960  10.6820
4924.9290  11.2730
4926.0650  12.1150
4927.1980  13.1410
4928.3320  11.3570
4929.4680  13.0160
4930.6020  14.6230
4931.7390  13.2640
4932.8740  14.7450
4934.0110  14.7690
4935.1460  14.7710
4936.2810  11.6590
4937.4190  12.1070
4938.5560  11.9810
4939.6940  12.7780
4940.8310  13.8400
4941.9700  13.2360
4943.1070  13.9160
4944.2440  13.5330
4945.3840  12.9270
4946.5220  12.4330
4947.6630  13.5380
4948.8010  12.3410
4949.9420  13.8490
4951.0810  12.7900
4952.2200  13.1160
4953.3620  12.6740
4954.5010  12.3030
4955.6440  14.0670
4956.7840  12.6870
4957.9270  13.2790
4959.0670  13.2530
4960.2080  12.9580
4961.3520  14.8540
4962.4930  14.1280
4963.6380  15.1790
4964.7790  15.5250
4965.9240  14.6730
4967.0670  14.5550
4968.2090  14.6260
4969.3550  13.4130
4970.4980  12.1670
4971.6450  12.5330
4972.7880  13.3160
4973.9350  13.3440
4975.0790  13.6140
4976.2240  11.6920
4977.3710  13.9250
4978.5160  12.2620
4979.6640  11.0950
4980.8100  16.3370
4981.9580  12.3930
4983.1040  12.6090
4984.2510  12.8590
4985.4000  13.8350
4986.5470  11.4960
4987.6970  9.8200
4988.8440  10.4900
4989.9950  10.6900
4991.1430  8.5070
4992.2910  10.8560
4993.4420  12.6220
4994.5910  12.9440
4995.7430  12.6420
4996.8920  11.5220
4998.0440  12.4470
4999.1940  12.1180
5000.3440  12.2190
5001.4970  12.6790
5002.6470  12.5730
5003.8010  12.5910
5004.9520  12.6160
5006.1060  14.7740
5007.2580  15.8790
5008.4130  13.5890
5009.5650  13.3920
5010.7170  13.0930
5011.8730  11.8350
5013.0260  12.1900
5014.1820  11.7540
5015.3350  12.4460
5016.4920  11.9090
5017.6460  11.3850
5018.8000  13.8180
5019.9580  12.6660
5021.1120  12.6950
5022.2700  12.3120
5023.4260  13.1460
5024.5840  13.9200
5025.7400  14.4570
5026.8960  13.1050
5028.0550  12.4270
5029.2120  12.3780
5030.3720  14.4110
5031.5290  14.2970
5032.6890  14.2410
5033.8470  13.3680
5035.0050  14.9520
5036.1660  13.4230
5037.3250  13.8840
5038.4860  15.1780
5039.6460  14.4360
5040.8080  12.2860
5041.9670  12.4180
5043.1270  15.2990
5044.2900  12.5300
5045.4500  12.0030
5046.6140  12.4450
5047.7750  12.4430
5048.9390  13.5870
5050.1000  14.5100
5051.2620  13.8440
5052.4270  14.6310
5053.5890  15.3920
5054.7540  13.0480
5055.9170  13.7790
5057.0830  12.7070
5058.2470  11.5400
5059.4100  12.7780
5060.5770  14.6890
5061.7410  13.9110
5062.9080  14.7190
5064.0730  14.2220
5065.2410  15.5810
5066.4060  14.5290
5067.5720  15.6010
5068.7400  13.8830
5069.9060  12.4060
5071.0750  13.9140
5072.2420  13.2470
5073.4120  11.0080
5074.5790  12.6880
5075.7460  12.9400
5076.9170  12.6620
5078.0840  12.7760
5079.2550  13.8450
5080.4240  13.8330
5081.5960  15.0630
5082.7650  13.0510
5083.9340  15.2980
